,scenario,reg_type,pca_components,knn_num_neighbors,r-squared
0,scale+pca,Linear Regression,1,N/A,0.0724778736874786
1,"pca, no scale",Linear Regression,1,N/A,0.03819390668122902
2,"no pca, no scale",Linear Regression,1,N/A,0.29745765274893454
3,scale+pca,Linear Regression,2,N/A,0.2298519109299294
4,"pca, no scale",Linear Regression,2,N/A,0.25657538771615995
5,"no pca, no scale",Linear Regression,2,N/A,0.29745765274893454
6,scale+pca,Linear Regression,3,N/A,0.23366588612299788
7,"pca, no scale",Linear Regression,3,N/A,0.2603508277419795
8,"no pca, no scale",Linear Regression,3,N/A,0.29745765274893454
9,scale+pca,Linear Regression,4,N/A,0.24518897452718758
10,"pca, no scale",Linear Regression,4,N/A,0.2602934009061426
11,"no pca, no scale",Linear Regression,4,N/A,0.29745765274893454
12,scale+pca,Linear Regression,5,N/A,0.2694878363199056
13,"pca, no scale",Linear Regression,5,N/A,0.2623149833400694
14,"no pca, no scale",Linear Regression,5,N/A,0.29745765274893454
15,scale+pca,Linear Regression,6,N/A,0.29745765274893454
16,"pca, no scale",Linear Regression,6,N/A,0.29745765274893454
17,"no pca, no scale",Linear Regression,6,N/A,0.29745765274893454
18,scale+pca,KNN,1,40,0.09454495698700804
19,"pca, no scale",KNN,1,40,0.031381116006917065
20,"no pca, no scale",KNN,1,40,0.14663172505388056
21,scale+pca,KNN,2,40,0.26968349134053005
22,"pca, no scale",KNN,2,40,0.05746537851944811
23,"no pca, no scale",KNN,2,40,0.14663172505388056
24,scale+pca,KNN,3,40,0.3108399766019161
25,"pca, no scale",KNN,3,40,0.15190180854175495
26,"no pca, no scale",KNN,3,40,0.14663172505388056
27,scale+pca,KNN,4,40,0.3137437255046396
28,"pca, no scale",KNN,4,40,0.15251446144775604
29,"no pca, no scale",KNN,4,40,0.14663172505388056
30,scale+pca,KNN,5,40,0.32073894349563037
31,"pca, no scale",KNN,5,40,0.15105464284671655
32,"no pca, no scale",KNN,5,40,0.14663172505388056
33,scale+pca,KNN,6,40,0.3216175620613009
34,"pca, no scale",KNN,6,40,0.14673454033530953
35,"no pca, no scale",KNN,6,40,0.14663172505388056
36,scale+pca,KNN,1,41,0.09523569396807896
37,"pca, no scale",KNN,1,41,0.03180980661700228
38,"no pca, no scale",KNN,1,41,0.14640987576552345
39,scale+pca,KNN,2,41,0.2702062296699129
40,"pca, no scale",KNN,2,41,0.05733446814106746
41,"no pca, no scale",KNN,2,41,0.14640987576552345
42,scale+pca,KNN,3,41,0.31083222557283874
43,"pca, no scale",KNN,3,41,0.15178625690069536
44,"no pca, no scale",KNN,3,41,0.14640987576552345
45,scale+pca,KNN,4,41,0.3137951437793174
46,"pca, no scale",KNN,4,41,0.1519863157635769
47,"no pca, no scale",KNN,4,41,0.14640987576552345
48,scale+pca,KNN,5,41,0.32138850617084225
49,"pca, no scale",KNN,5,41,0.1508773163182877
50,"no pca, no scale",KNN,5,41,0.14640987576552345
51,scale+pca,KNN,6,41,0.3220900039747876
52,"pca, no scale",KNN,6,41,0.14644412162880116
53,"no pca, no scale",KNN,6,41,0.14640987576552345
54,scale+pca,KNN,1,42,0.09608932480088428
55,"pca, no scale",KNN,1,42,0.03186035388516262
56,"no pca, no scale",KNN,1,42,0.14632347197549245
57,scale+pca,KNN,2,42,0.27049392560579866
58,"pca, no scale",KNN,2,42,0.056799376578917316
59,"no pca, no scale",KNN,2,42,0.14632347197549245
60,scale+pca,KNN,3,42,0.31118038888418176
61,"pca, no scale",KNN,3,42,0.15175498450115743
62,"no pca, no scale",KNN,3,42,0.14632347197549245
63,scale+pca,KNN,4,42,0.31406339091391544
64,"pca, no scale",KNN,4,42,0.1522527109551537
65,"no pca, no scale",KNN,4,42,0.14632347197549245
66,scale+pca,KNN,5,42,0.3210570270475578
67,"pca, no scale",KNN,5,42,0.15084767891259832
68,"no pca, no scale",KNN,5,42,0.14632347197549245
69,scale+pca,KNN,6,42,0.32202571013683656
70,"pca, no scale",KNN,6,42,0.1463647969491655
71,"no pca, no scale",KNN,6,42,0.14632347197549245
72,scale+pca,KNN,1,43,0.09679575222665637
73,"pca, no scale",KNN,1,43,0.03218626764585508
74,"no pca, no scale",KNN,1,43,0.14566079831526313
75,scale+pca,KNN,2,43,0.27109512039741246
76,"pca, no scale",KNN,2,43,0.05628243009604317
77,"no pca, no scale",KNN,2,43,0.14566079831526313
78,scale+pca,KNN,3,43,0.3112876050272212
79,"pca, no scale",KNN,3,43,0.15155795808967598
80,"no pca, no scale",KNN,3,43,0.14566079831526313
81,scale+pca,KNN,4,43,0.3142543361769755
82,"pca, no scale",KNN,4,43,0.15203465577529973
83,"no pca, no scale",KNN,4,43,0.14566079831526313
84,scale+pca,KNN,5,43,0.3208256536356551
85,"pca, no scale",KNN,5,43,0.1503054765649583
86,"no pca, no scale",KNN,5,43,0.14566079831526313
87,scale+pca,KNN,6,43,0.3221495587291142
88,"pca, no scale",KNN,6,43,0.14587124349858682
89,"no pca, no scale",KNN,6,43,0.14566079831526313
90,scale+pca,KNN,1,44,0.09758559228426777
